id,attraction_id,name,score,distance
399,30,"鲁朗石锅城·松茸天麻石锅鸡",3.8,10.6
400,30,"南渝食府.石锅鸡(尚城花园店)",4.9,8.1
401,30,"盐帮菌王府(林芝总店)",4.6,10.6
402,30,"鲁朗纳麦石锅鸡庄园",4.8,32.0
403,30,"兰心石锅菌王府(林芝佳美花园店)",2.7,9.9
404,30,"艾葳格兰西餐厅",5.0,32.0
405,30,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
406,30,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
407,30,"酸叔老坛酸菜鸡(波密分店)",5.0,
408,30,"南渝食府.石锅鸡(尚城花园店)",4.9,
409,30,"盐帮菌王府(林芝总店)",4.6,
410,30,"圣地卓龙藏家宴",4.9,
411,30,"鲁朗纳麦石锅鸡庄园",4.8,
412,31,"云南丽江腊排汤锅",5.0,17.5
413,31,"飘香川菜馆",5.0,37.4
414,31,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
415,31,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
416,31,"酸叔老坛酸菜鸡(波密分店)",5.0,
417,31,"南渝食府.石锅鸡(尚城花园店)",4.9,
418,31,"盐帮菌王府(林芝总店)",4.6,
419,31,"圣地卓龙藏家宴",4.9,
420,31,"鲁朗纳麦石锅鸡庄园",4.8,
421,32,"鲁朗纳麦石锅鸡庄园",4.8,41.5
422,32,"艾葳格兰西餐厅",5.0,40.9
423,32,"加拉白垒中餐厅",5.0,40.9
424,32,"鲁朗圣地石锅",4.7,40.9
425,32,"扎西石锅鸡",5.0,41.9
426,32,"盐帮菌王府石锅鸡(鲁朗店)",,42.2
427,32,"鲁朗刘氏石锅",4.8,40.9
428,32,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
429,32,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
430,32,"酸叔老坛酸菜鸡(波密分店)",5.0,
431,32,"南渝食府.石锅鸡(尚城花园店)",4.9,
432,32,"盐帮菌王府(林芝总店)",4.6,
433,32,"圣地卓龙藏家宴",4.9,
434,32,"鲁朗纳麦石锅鸡庄园",4.8,
435,33,"林芝工布庄园希尔顿酒店·猎味中餐厅",,25.2
436,33,"鲁朗石锅城·松茸天麻石锅鸡",3.8,28.7
437,33,"南渝食府.石锅鸡(尚城花园店)",4.9,26.3
438,33,"盐帮菌王府(林芝总店)",4.6,29.2
439,33,"鲁朗纳麦石锅鸡庄园",4.8,42.0
440,33,"兰心石锅菌王府(林芝佳美花园店)",2.7,28.6
441,33,"艾葳格兰西餐厅",5.0,42.7
442,33,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
443,33,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
444,33,"酸叔老坛酸菜鸡(波密分店)",5.0,
445,33,"南渝食府.石锅鸡(尚城花园店)",4.9,
446,33,"盐帮菌王府(林芝总店)",4.6,
447,33,"圣地卓龙藏家宴",4.9,
448,33,"鲁朗纳麦石锅鸡庄园",4.8,
449,34,"林芝工布庄园希尔顿酒店·猎味中餐厅",,13.5
450,34,"扎西德勒藏餐馆",,6.1
451,34,"林芝工布庄园希尔顿酒店·餐厅",4.1,13.9
452,34,"土碗香酸汤牦牛肉(米林店)",4.5,6.0
453,34,"山泽居度假酒店(林芝机场店)·山泽居接待中心全景餐厅",4.5,12.8
454,34,"米林依云若雅民宿·餐厅",,29.2
455,34,"林芝工布庄园希尔顿酒店·热嘎全日餐厅",5.0,13.9
456,34,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
457,34,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
458,34,"酸叔老坛酸菜鸡(波密分店)",5.0,
459,34,"南渝食府.石锅鸡(尚城花园店)",4.9,
460,34,"盐帮菌王府(林芝总店)",4.6,
461,34,"圣地卓龙藏家宴",4.9,
462,34,"鲁朗纳麦石锅鸡庄园",4.8,
